X,Y
361037.68990813714,4065822.0076353448
361037.3234114042,4065821.9913958968
361037.00210615847,4065822.007713007
361036.63578966574,4065822.0025675814
361036.2696534151,4065822.008516163
361035.88565685914,4065822.0147549366
361035.5552412184,4065822.0201231968
361035.2160756689,4065822.0367305493
361034.8767298751,4065822.0422439254
361034.5286341747,4065822.058996396
361034.18053847377,4065822.0757488804
361033.79654191807,4065822.0819877465
361033.4036152102,4065822.0883717216
361033.0108687497,4065822.1058497075
361032.5820411835,4065822.101720091
361032.1444637114,4065822.1088295816
361031.8408385272,4065822.1137627102
361031.5373935923,4065822.129789842
361031.23376840696,4065822.134722992
361030.921393321,4065822.150895238
361030.60901823454,4065822.1670674966
361030.2877129967,4065822.183384859
361029.9662275081,4065822.1886082417
361029.64474201936,4065822.1938316375
361029.3232565304,4065822.199055044
361029.0015907886,4065822.193184471
361028.67992504576,4065822.187313909
361028.358259302,4065822.1814433616
361028.0276634039,4065822.1757179205
361027.7059976581,4065822.1698473957
361027.3755820141,4065822.1752159726
361027.04516636994,4065822.1805845625
361026.71457046864,4065822.1748591717
361026.3752246704,4065822.180372885
361026.02712897654,4065822.1971257017
361025.67885302636,4065822.2027845406
361025.3216469226,4065822.2085884926
361024.97337097203,4065822.21424736
361024.6340251733,4065822.2197611425
361024.3036095265,4065822.225129838
361023.9730136215,4065822.219404554
361023.6513478677,4065822.2135341824
361023.32968211273,4065822.2076638206
361023.0080163569,4065822.2017934737
361022.6861703391,4065822.1848291457
361022.3555744274,4065822.179103924
361022.02479825413,4065822.1622847216
361021.68509192555,4065822.145610636
361021.34538559493,4065822.128936564
361021.01442915294,4065822.1010234086
361020.6661531916,4065822.106682452
361020.32644685556,4065822.0900084195
361019.9779906298,4065822.084573499
361019.6297146678,4065822.0902325828
361019.28125843895,4065822.0847976906
361018.9329824762,4065822.0904568047
361018.57577635953,4065822.0962610375
361018.2185702439,4065822.102065286
361017.8790441657,4065822.0964853414
361017.5398786217,4065822.1130933994
361017.209282696,4065822.1073683747
361016.878686768,4065822.101643365
361016.5570209926,4065822.095773259
361016.23517494707,4065822.078809174
361015.8956488631,4065822.073229309
361015.57380281424,4065822.0562652494
361015.2342767278,4065822.050685411
361014.89475064026,4065822.0451055868
361014.53736424656,4065822.039815997
361014.188908003,4065822.034381311
361013.84956218465,4065822.0398955205
361013.50110594067,4065822.034460862
361013.1524694223,4065822.017932225
361012.81294332835,4065822.012352484
361012.48234738724,4065822.006627643
361012.1430015658,4065822.01214192
361011.8036557442,4065822.0176562113
361011.4730597996,4065822.0119314105
361011.13407452893,4065822.039633713
361010.8036588612,4065822.0450029294
361010.47324319324,4065822.0503721596
361010.15193795494,4065822.066690279
361009.8213420082,4065822.0609655418
361009.4907460618,4065822.055240817
361009.16926054546,4065822.0604649805
361008.838844875,4065822.065834274
361008.517179079,4065822.059964471
361008.1865831294,4065822.0542397965
361007.85616745753,4065822.0596091268
361007.52575178683,4065822.064978471
361007.2040859877,4065822.059108716
361006.8824201876,4065822.053238974
361006.54325464333,4065822.0698474655
361006.2306992771,4065822.074926623
361005.9002836051,4065822.080296029
361005.56111806206,4065822.096904561
361005.22177223617,4065822.1024191133
361004.8734962573,4065822.108078799
361004.5254005614,4065822.124832492
361004.1769442976,4065822.119398214
361003.83759847103,4065822.1249128208
361003.4802120515,4065822.1196236913
361003.1230059184,4065822.1254285714
361002.77472993673,4065822.131088343
361002.42645395605,4065822.136748128
361002.07799768756,4065822.1313139354
361001.7118613991,4065822.1372639965
361001.36340512766,4065822.1318298317
361000.99726883834,4065822.137779924
361000.62202210637,4065822.132781164
361000.2378452191,4065822.127927546
360999.86241819296,4065822.1118348255
360999.486991166,4065822.095742122
360999.1112035526,4065822.05746145
360998.726485782,4065822.01932592
360998.35087845405,4065821.992139273
360997.97545141465,4065821.976046635
360997.6087742342,4065821.948714894
360997.2424576384,4065821.9435711536
360996.89400134917,4065821.9381371713
360996.54554505757,4065821.9327032035
360996.1972690614,4065821.9383632434
360995.87578352605,4065821.9435879067
360995.5542979905,4065821.9488125835
360995.2417426081,4065821.9538921416
360994.9291872268,4065821.95897171
360994.6168121414,4065821.975145283
360994.17923460715,4065821.9822567157
360993.7509478214,4065822.0114110247
360993.32248074,4065822.029471362
360992.8940136594,4065822.047531721
360992.45625582617,4065822.0435492485
360992.0274281447,4065822.039421665
360991.6166410709,4065822.0460978267
360991.2238946051,4065822.063577732
360990.8398979924,4065822.0698185284
360990.46501183667,4065822.0870082
360990.08994537726,4065822.093103894
360989.72344846476,4065822.076866483
360989.3660620077,4065822.071577943
360989.0174253995,4065822.0550502893
360988.6419983279,4065822.0389580606
360988.2667515585,4065822.0339598423
360987.891685094,4065822.040055633
360987.5075081693,4065822.035202584
360987.1145813969,4065822.0415886864
360986.71236385463,4065822.02593196
360986.3101463099,4065822.0102752517
360985.9168589177,4065821.9944734205
360985.52357152314,4065821.97867161
360985.1302841251,4065821.9628698165
360984.71038657415,4065821.9585974584
360984.2813785564,4065821.943376269
360983.85255084734,4065821.939249096
360983.40586282837,4065821.935412229
360982.97721542895,4065821.9423790923
360982.5480270903,4065821.916063996
360982.11937968864,4065821.9230309012
360981.7173424349,4065821.918468402
360981.31548549456,4065821.9249999146
360980.91362855386,4065821.931531446
360980.5296319217,4065821.9377727048
360980.1458156053,4065821.9551079734
360979.75306913594,4065821.9725884064
360979.3781829749,4065821.989778563
360979.00311649824,4065821.9958747434
360978.62823033816,4065822.0130649344
360978.26227433374,4065822.0301099927
360977.9050681648,4065822.0359159256
360977.55697247,4065822.052670716
360977.19083614746,4065822.058621827
360976.8427404538,4065822.0753766485
360976.49446443864,4065822.0810374897
360976.163868412,4065822.0753140515
360975.86024316837,4065822.0802491675
360975.52982746094,4065822.085619747
360975.2083419084,4065822.0908451886
