X,Y
360951.8674756916,4065816.034044224
360951.9879891438,4065815.7546619317
360951.9461365199,4065815.378046852
360951.9214228104,4065814.9567654505
360951.907082079,4065814.624090822
360951.8836308323,4065814.280467374
360951.86910974886,4065813.936698751
360951.8454781482,4065813.58198131
360951.8307767116,4065813.227118695
360951.82536614314,4065812.894298892
360951.8376355517,4065812.5500947437
360951.85026566766,4065812.2280785814
360951.8519817464,4065811.7841736707
360951.8649725701,4065811.4843454957
360951.87579916895,4065811.051389402
360951.8782366613,4065810.651860463
360951.8899650259,4065810.274374336
360951.89312392817,4065809.919221371
360951.9055737043,4065809.5861112177
360951.9180234822,4065809.2530010655
360951.9310143176,4065808.9531728933
360951.9425623383,4065808.5645927726
360951.9471640638,4065808.1982006417
360951.94761769706,4065807.776628894
360951.94184643927,4065807.4216211056
360951.9444642981,4065807.033186162
360951.9558319757,4065806.6335120504
360951.957548079,4065806.1896071425
360951.96837470715,4065805.756651051
360951.9722550325,4065805.4458740624
360951.95611079485,4065805.002259503
360951.96017147345,4065804.547405776
360951.94420758786,4065804.1147400374
360951.9437594785,4065803.6930231173
360951.918865418,4065803.2606477276
360951.9120120582,4065802.839075982
360951.91625309375,4065802.4061198942
360951.889014462,4065801.9738896796
360951.873050575,4065801.5413691183
360951.85032073123,4065801.2421216485
360951.8363407102,4065800.9316350124
360951.82236069016,4065800.621148376
360951.79070066573,4065800.322046084
360951.78565082187,4065800.0114142713
360951.7961167642,4065799.5562701975
360951.80694341334,4065799.1233141124
360951.8354500725,4065798.678973682
360951.89110797795,4065798.2563857143
360951.9648066022,4065797.8446013904
360952.0497799788,4065797.43194602
360952.23740676104,4065797.0300942967
360952.40022688056,4065796.60576424
360952.5118104801,4065796.3265271457
360952.6232137384,4065796.0361960586
360952.72586717166,4065795.622814831
360952.92440807377,4065795.3321934007
360953.0808229758,4065795.063324438
360953.2372378867,4065794.7944554794
360953.5084827536,4065794.4460413205
360953.7100896577,4065794.2097284854
360953.9125983153,4065793.9382464327
360954.2390474736,4065793.7794463886
360954.6194384546,4065793.5513241244
360954.9830511677,4065793.3900561803
360954.66535181005,4065793.628256217
360955.0389767877,4065793.5334070604
360955.4133231576,4065793.482933894
360955.7967800626,4065793.443409566
360956.1802369704,4065793.4038852537
360956.58155425085,4065793.3640706223
360956.97394134855,4065793.324401176
360957.38436916296,4065793.295535404
360957.80354682147,4065793.2554304907
360958.2225441402,4065793.204231604
360958.6597625164,4065793.1749303886
360959.0966202124,4065793.1234412105
360959.5338385937,4065793.0941400398
360959.837104202,4065793.067016388
360960.2830724326,4065793.0264760973
360960.5861577047,4065792.9882584787
360961.03230628045,4065792.958812221
360961.46952467354,4065792.929511149
360961.9158535912,4065792.9111589286
360962.32628143136,4065792.8822933957
360962.7729710251,4065792.886129207
360963.2105500952,4065792.8790162113
360963.6304491316,4065792.8832875555
360964.0412376456,4065792.8766100905
360964.4520261594,4065792.8699326436
360964.84495430376,4065792.8635455403
360965.24699296616,4065792.868107287
360965.63099092373,4065792.8618653812
360966.0058783627,4065792.8446746585
360966.4079170228,4065792.8492364595
360966.782984794,4065792.8431397644
360967.157872235,4065792.8259490924
360967.51525996794,4065792.8312367396
360967.88175821444,4065792.8474732377
360968.2300354291,4065792.8418120793
360968.5786733023,4065792.8583389213
360968.91820066015,4065792.8639169415
360969.24004797544,4065792.880879282
360969.55296510446,4065792.8979867897
360969.9553644078,4065792.9247367447
360970.34865319513,4065792.9405378792
360970.72426193825,4065792.967723336
360971.09021918825,4065792.950677991
360971.48332764435,4065792.955385186
360971.8048142963,4065792.9501596363
360972.1798820574,4065792.944063178
360972.5638800025,4065792.9378215824
360972.992528871,4065792.93085424
360973.3047246903,4065792.9035859136
360973.6442520347,4065792.909164123
360973.97448854917,4065792.892699509
360974.2959752008,4065792.8874740535
360974.62639203644,4065792.8821034594
360974.94787868764,4065792.8768780287
360975.2513246484,4065792.860848918
360975.56406143575,4065792.8668626533
360976.0103903535,4065792.84851117
360976.32312713953,4065792.8545249323
360976.751595688,4065792.8364637867
360977.18917473964,4065792.829351506
360977.60889342264,4065792.822529544
360978.0287924212,4065792.8268015943
360978.43940060236,4065792.8090308285
360978.8501890991,4065792.8023540745
360979.2429369105,4065792.78487364
360979.66265559266,4065792.778051779
360980.07326377474,4065792.760281091
360980.51066251274,4065792.7420749883
360980.94806125027,4065792.723868907
360981.38545998867,4065792.705662849
360981.83178891346,4065792.6873116703
360982.286867713,4065792.657721379
360982.732836018,4065792.6171822613
360983.0364623005,4065792.61224742
360983.4826109198,4065792.5828023343
360983.8040975725,4065792.577577237
360984.1166540396,4065792.5724972924
360984.4292105078,4065792.5674173594
360984.7596273443,4065792.5620471565
360985.0987940583,4065792.545437834
360985.4202807107,4065792.540212798
360985.7506975485,4065792.5348426336
360986.0546844441,4065792.552095885
360986.37653170765,4065792.5690588676
360986.68944878527,4065792.5861670035
360986.9932553702,4065792.592326294
360987.42244514957,4065792.6186416536
360987.8423441313,4065792.622914187
360988.23581316706,4065792.649810136
360988.61070061557,4065792.632620406
360988.9682686054,4065792.649002941
360989.3076156189,4065792.6434877776
360989.68286367296,4065792.648486081
360990.12080331764,4065792.663562447
360990.43354007707,4065792.669576726
360990.7462768343,4065792.6755910167
360991.0500834066,4065792.6817504507
360991.49677292956,4065792.6855877624
360991.80075980024,4065792.702841217
360992.23851913493,4065792.706823699
360992.5512558877,4065792.7128380546
360992.8639926383,4065792.7188524227
360993.1945897582,4065792.724576538
360993.52500657877,4065792.7192066736
360993.85560369695,4065792.724930816
360994.1949507018,4065792.719415846
360994.5255478171,4065792.7251400133
360994.83810426865,4065792.720060461
360995.1774512712,4065792.714545531
360995.52590875444,4065792.7199794776
360995.8650754636,4065792.703370582
360996.2135329442,4065792.708804556
360996.552879947,4065792.703289681
360996.8832967646,4065792.6979199466
360997.231573952,4065792.6922599706
360997.57092095295,4065792.686745135
360997.9013377713,4065792.68137544
360998.2403241914,4065792.653672647
360998.5619911157,4065792.6595420977
360998.874547564,4065792.6544626914
360999.25818490784,4065792.626034309
360999.5886017266,4065792.6206646794
360999.9281290176,4065792.6262439317
361000.2496156506,4065792.621019451
361000.5803930429,4065792.637837846
361000.955641068,4065792.642836642
361001.2594476176,4065792.648996438
361001.57218435116,4065792.655011124
361001.87599089893,4065792.6611709436
361002.188907915,4065792.678279644
361002.5284351974,4065792.683858998
361002.8949333155,4065792.7000969937
361003.1991004287,4065792.7284448454
361003.5296975219,4065792.73416936
361003.8960153504,4065792.739313404
361004.3073446637,4065792.7659198516
361004.7542144273,4065792.780851846
361005.07606161316,4065792.797815532
361005.4245190683,4065792.803249881
361005.7819067044,4065792.8085391265
361006.1482245254,4065792.813683269
361006.52347252716,4065792.8186823092
