X,Y
360952.0674756916,4065816.034044224
360952.18798914383,4065815.754661932
360952.1461365199,4065815.378046852
360952.1214228104,4065814.9567654505
360952.107082079,4065814.624090822
360952.0836308323,4065814.280467374
360952.0691097489,4065813.936698751
360952.0454781482,4065813.58198131
360952.0307767116,4065813.227118695
360952.0253661432,4065812.894298892
360952.0376355517,4065812.550094744
360952.05026566767,4065812.228078581
360952.0519817464,4065811.784173671
360952.0649725701,4065811.484345496
360952.07579916896,4065811.051389402
360952.0782366613,4065810.651860463
360952.0899650259,4065810.274374336
360952.0931239282,4065809.919221371
360952.1055737043,4065809.5861112177
360952.1180234822,4065809.2530010655
360952.1310143176,4065808.953172893
360952.1425623383,4065808.5645927726
360952.1471640638,4065808.1982006417
360952.1476176971,4065807.776628894
360952.1418464393,4065807.4216211056
360952.1444642981,4065807.033186162
360952.1558319757,4065806.6335120494
360952.15754807903,4065806.189607144
360952.1683747072,4065805.756651051
360952.1722550325,4065805.4458740624
360952.15611079487,4065805.002259503
360952.1601714735,4065804.547405776
360952.14420758793,4065804.114740037
360952.1437594785,4065803.693023117
360952.118865418,4065803.260647728
360952.1120120582,4065802.839075982
360952.11625309376,4065802.4061198942
360952.089014462,4065801.97388968
360952.07305057504,4065801.5413691183
360952.0503207312,4065801.242121649
360952.0363407102,4065800.931635013
360952.0223606902,4065800.621148376
360951.9907006657,4065800.322046084
360951.9856508219,4065800.0114142713
360951.9961167642,4065799.5562701975
360952.0069434133,4065799.123314112
360952.0354500725,4065798.678973682
360952.091107978,4065798.256385714
360952.16480660223,4065797.8446013904
360952.2497799788,4065797.43194602
360952.437406761,4065797.0300942967
360952.40022688056,4065796.60576424
360952.5118104801,4065796.3265271457
360952.6232137384,4065796.0361960586
360952.72586717166,4065795.622814831
360952.92440807377,4065795.3321934007
360953.0808229758,4065795.063324438
360953.2372378867,4065794.79445548
360953.5084827536,4065794.446041321
360953.7100896577,4065794.209728485
360953.9125983153,4065793.9382464327
360954.2390474736,4065793.7794463886
360954.6194384546,4065793.551324125
360954.9830511677,4065793.39005618
360954.6653518101,4065793.628256217
360955.0389767877,4065793.533407061
360955.4133231576,4065793.482933894
360955.7967800626,4065793.443409566
360956.1802369704,4065793.4038852537
360956.5815542509,4065793.3640706223
360956.97394134855,4065793.324401176
360957.38436916296,4065793.295535404
360957.8035468215,4065793.25543049
360958.2225441402,4065793.204231604
360958.6597625164,4065793.1749303886
360959.0966202124,4065793.1234412105
360959.5338385937,4065793.09414004
360959.837104202,4065793.067016388
