X,Y
360951.3908379272,4065816.2257975135
360951.23293581116,4065815.9666813305
360951.22649546614,4065815.554288388
360951.24800565775,4065815.1958250827
360951.2509081856,4065814.8305130913
360951.244921266,4065814.49365188
360951.2509657819,4065814.1576345093
360951.2515283161,4065813.8135755337
360951.2640494547,4065813.472423774
360951.25892817817,4065813.16983356
360951.2628989563,4065812.850480113
360951.2647048707,4065812.4262456447
360951.266961985,4065812.015622711
360951.26957980474,4065811.627187764
360951.2727386839,4065811.2720347964
360951.27625827084,4065810.939069818
360951.2807232866,4065810.625124946
360951.2832974467,4065810.2731398605
360951.28627597785,4065809.9068929013
360951.28947853035,4065809.515290071
360951.28600816545,4065809.212607418
360951.29539193236,4065808.819246019
360951.3073006384,4065808.452853885
360951.31190234935,4065808.0222594095
360951.3381788437,4065807.588703118
360951.3306699021,4065807.1430367865
360951.33427999495,4065806.8014953476
360951.3289592852,4065806.4883459997
360951.3239094201,4065806.1777141863
360951.3101621001,4065805.865312377
360951.2961820636,4065805.554825737
360951.2908994816,4065805.2461090954
360951.27756632894,4065804.8024945366
360951.25879130367,4065804.3699739724
360951.2522240975,4065803.947190164
360951.25563787465,4065803.6265312433
360951.2418467068,4065803.313519603
360951.2451774446,4065802.9830796304
360951.23976687784,4065802.650259831
360951.23454518075,4065802.314915029
360951.2287653933,4065801.9735262394
360951.24157588487,4065801.662604075
360951.23009282694,4065801.320596874
360951.23950458184,4065800.9857253097
360951.24284384324,4065800.641666342
360951.2468190993,4065800.2805204424
360951.2583435947,4065799.934267622
360951.27061303897,4065799.59006348
360951.27665758645,4065799.2266325937
360951.3222340886,4065798.8821380995
360951.36197380716,4065798.5185294095
360951.3966029622,4065798.150726457
360951.53585134057,4065797.776226404
360951.6361479009,4065797.411205954
360951.6741312186,4065797.0322680813
360951.80902641505,4065796.6491733068
360952.07838643197,4065796.2744216286
360952.29359506135,4065795.950677808
360952.53147975414,4065795.6332531576
360952.8081615036,4065795.360050918
360953.10313086363,4065795.100215849
360953.38510939525,4065794.862596441
360953.69753710553,4065794.633078938
360954.03434224013,4065794.421644706
360954.358628923,4065794.240804123
360954.71312902024,4065794.0701115606
360955.07644939533,4065793.938676308
360955.460530563,4065793.8151317756
360955.81421935325,4065793.709995278
360956.21102589986,4065793.645100776
360956.6027937309,4065793.603472774
360956.9677397868,4065793.55318103
360957.33362611366,4065793.5028169313
360957.70902619924,4065793.4853382385
360958.07633692457,4065793.4907719963
360958.4421837742,4065793.4958932092
360958.7995715024,4065793.501180493
360959.15743028896,4065793.506488675
360959.51364486065,4065793.5003903206
360959.8708522435,4065793.494583654
360960.2369898096,4065793.4886318375
360960.5841038603,4065793.4722001646
360960.94113090297,4065793.4552995497
360961.2887084706,4065793.438585706
360961.6561678009,4065793.421174577
360961.9943516697,4065793.4048881256
360962.3523615248,4065793.3876637807
360962.681095918,4065793.371564111
360963.0308752184,4065793.3655373626
360963.3501028526,4065793.34963105
360963.6825983586,4065793.3438464836
360964.01510620484,4065793.3388212477
360964.3276626666,4065793.3337405794
360964.629197926,4065793.3284593136
360964.95086490567,4065793.3343275
360965.25449118303,4065793.329392026
360965.5581174586,4065793.3244565637
360966.01647355995,4065793.328528469
360966.45495831285,4065793.332552453
360966.91241893254,4065793.337415402
360967.34469536407,4065793.328706625
360967.6752925213,4065793.3344297544
360967.987848978,4065793.329349219
360968.3004054357,4065793.3242686954
360968.63975244743,4065793.318752712
360968.9724406179,4065793.324821661
360969.2918362429,4065793.319250246
360969.61350321065,4065793.325118607
360969.97206405754,4065793.341792025
360970.3105985789,4065793.3470784235
360970.6954789144,4065793.36329552
360971.0789550898,4065793.3567830664
360971.47206352756,4065793.36149026
360971.88303233415,4065793.3659071634
360972.27596044436,4065793.3595204004
360972.6872028905,4065793.375284335
360973.0619969889,4065793.35784092
360973.4549250989,4065793.3514542123
360973.84855528054,4065793.356432303
360974.2318511314,4065793.3388259993
360974.61533638235,4065793.332872099
360975.00869211816,4065793.326453759
360975.4113375298,4065793.331030871
360975.80383720604,4065793.3246264816
360976.19712595193,4065793.340427884
360976.5987732316,4065793.3449749206
360977.00081183814,4065793.349537218
360977.39449191134,4065793.365353919
360977.7873266948,4065793.358714408
360978.1888869704,4065793.352420526
360978.57318289997,4065793.345941442
360978.95718081796,4065793.3397001317
360979.3501089218,4065793.333313694
360979.7339265251,4065793.3159784274
360980.1270349418,4065793.320686018
360980.51103285985,4065793.314444779
360980.9131647772,4065793.3192602615
360981.2881391911,4065793.3129112
360981.68124760425,4065793.3176188623
360982.05631533614,4065793.311522836
360982.44031325093,4065793.305281683
360982.84244516614,4065793.310097258
360983.20830908074,4065793.292799429
360983.58329176315,4065793.286959371
360983.98550872435,4065793.2915190984
360984.3611851956,4065793.2965349546
360984.72662067955,4065793.2792194034
360985.1025707773,4065793.295582286
360985.48736191925,4065793.312351344
360985.85324715474,4065793.316672528
360986.2195650039,4065793.3218158158
360986.57625060994,4065793.3157394747
360986.9423881508,4065793.3097888012
360987.3085256927,4065793.303838144
360987.6657330501,4065793.2980326395
360988.0128471078,4065793.281602081
360988.36210709205,4065793.2756179557
360988.70145408163,4065793.270102768
360989.0318708865,4065793.264732729
360989.3643787096,4065793.25970848
360989.7783799036,4065793.241983532
360990.080344439,4065793.259269793
360990.4521307306,4065793.263844208
360990.85171956004,4065793.280269586
360991.2295976262,4065793.2844995167
360991.64056638326,4065793.288917369
360992.07367846434,4065793.293521368
360992.48000366124,4065793.275274882
360992.90865248453,4065793.268308538
360993.337121008,4065793.2502482217
360993.7747000138,4065793.243136789
360994.0872564471,4065793.2380572087
360994.3998128809,4065793.232977639
360994.71011034056,4065793.2172176307
360995.06291779294,4065793.233677786
360995.3912435745,4065793.2279622154
360995.72908845113,4065793.222812679
360996.09790119814,4065793.2278826963
360996.4167126016,4065793.211637774
360996.77542205725,4065793.205467277
360997.1130866412,4065793.1892238036
360997.4818993849,4065793.19429388
360997.82025355403,4065793.1884873747
360998.15861772455,4065793.1832963475
360998.53484854207,4065793.1879712516
360998.9368870989,4065793.1925345794
360999.34767554875,4065793.1858588094
360999.73098048195,4065793.168812044
361000.1333514241,4065793.1619938333
361000.52698154707,4065793.1669731527
361000.8853606134,4065793.1723077702
361001.3037463484,4065793.1762645924
361001.64327361353,4065793.1818439118
361002.0185216088,4065793.1868427517
361002.3389960544,4065793.2046793248
361002.67096587043,4065793.209530817
361003.0993623981,4065793.226913991
361003.5226105164,4065793.2294073687
361003.9782301599,4065793.23310021
361004.4767571721,4065793.2359780525
361004.825214612,4065793.2414123775
361005.18142913625,4065793.2353159254
361005.5564968413,4065793.2292209296
361005.97668542096,4065793.2455974137
361006.36932381475,4065793.2271091538
361006.80642622954,4065793.231317003
361007.26141071564,4065793.234988745
361007.7331732696,4065793.250007294
361008.1993384125,4065793.253024843
361008.6905967765,4065793.2672238788
361009.18175685883,4065793.2592425416
361009.66582342394,4065793.2512192316
361010.16781907645,4065793.232111578
361010.66790934297,4065793.223985213
361011.17484412633,4065793.21560103
361011.6911383638,4065793.2184656067
361012.1930652938,4065793.2101522153
361012.6831136443,4065793.213468418
361013.1221648958,4065793.2172486205
361013.5506911439,4065793.2445016704
361013.93684756086,4065793.2717004092
361014.26818369474,4065793.2877428182
361014.7044297535,4065793.291410076
361015.0796777141,4065793.2964094905
361015.48617945187,4065793.3125439934
361015.9082863265,4065793.2944219406
361016.23034948815,4065793.2891498934
361016.5791459226,4065793.283449118
361016.9354734187,4065793.255498438
361017.32981853007,4065793.2490042765
361017.74962218595,4065793.2419283832
361018.1953245155,4065793.2459803303
361018.6247801249,4065793.2277080384
361019.0792879886,4065793.24269902
361019.5284887618,4065793.2242899085
361019.9899732557,4065793.2617944265
361020.4634532151,4065793.2651979364
361020.9105162903,4065793.2462347453
361021.3497477774,4065793.261109362
361021.7967977053,4065793.2871362367
361022.2428354113,4065793.3362241033
361022.6548788087,4065793.340008217
361023.04828512087,4065793.3444800223
361023.43316525273,4065793.360699488
361023.7811008833,4065793.365863789
361024.09057423024,4065793.339067125
361024.4810248479,4065793.3329237574
361024.79860094626,4065793.3160405057
361025.1667970234,4065793.276788377
361025.50336436485,4065793.2602017745
361025.8695018604,4065793.2542527677
361026.2644922335,4065793.260152601
361026.65582785243,4065793.264681277
361027.0230760666,4065793.247457181
361027.3826132306,4065793.2413911126
361027.7894911592,4065793.2230570135
361028.1911691319,4065793.2054337314
361028.57853671553,4065793.1775723714
361028.9809691725,4065793.148759637
361029.39584255463,4065793.130376018
361029.8100926965,4065793.1241256464
361030.2137929876,4065793.1064696023
361030.52068509074,4065793.0899062837
361030.8243113064,4065793.0849731388
361031.279390136,4065793.0553854574
361031.5801135687,4065793.0398281477
361031.92218305374,4065793.0338448733
361032.2527800645,4065793.0395704983
361032.59400068986,4065793.0565614114
361032.92290426814,4065793.050876692
361033.25350127794,4065793.056602354
361033.5840982849,4065793.06232803
361033.9055848651,4065793.0571048143
361034.2555554219,4065793.0628567133
361034.56351561204,4065793.0357440533
361034.93424930994,4065793.0518299933
361035.2911164926,4065793.057095778
361035.6377078803,4065793.0403392897
361036.00435805414,4065793.034103117
361036.36058254796,4065793.028623428
361036.74574345956,4065793.033154925
361037.1298346375,4065793.027169231
361037.49587880546,4065793.0209677187
361037.8707662397,4065793.003780149
361038.245833914,4065792.9976865877
361038.639463943,4065793.0026676604
361039.0240746474,4065793.0083451313
361039.3899597632,4065793.0126686045
361039.757289262,4065793.0511170495
361040.13289763796,4065793.0783055443
361040.51782798255,4065793.118593741
361040.86607378646,4065793.1218787585
361041.21335808793,4065793.115928889
361041.5726192784,4065793.1437239894
361041.9382363867,4065793.1377509763
361042.2944508696,4065793.13165607
361042.66058834846,4065793.1257077823
361042.9987722313,4065793.109424537
361043.3677661783,4065793.125656862
361043.7249734741,4065793.1198536986
361044.0618244036,4065793.1143481103
361044.4095822223,4065793.1087316386
361044.777221811,4065793.102418077
361045.1433592881,4065793.0964698954
361045.5015593983,4065793.090958492
361045.830803102,4065793.074204971
361046.17809739837,4065793.0688707675
361046.54521769204,4065793.062598866
361046.91187692207,4065793.056921555
361047.26062509615,4065793.051284506
361047.6097830319,4065793.0678392574
361047.9567271853,4065793.07295896
361048.32421792555,4065793.089490582
361048.6526590399,4065793.0841549416
361049.0022794158,4065793.100361277
361049.35243015847,4065793.1172077856
361049.69195730635,4065793.122789009
361050.0502543838,4065793.1622358277
361050.3724905519,4065793.189450867
361050.73039000784,4065793.2399622914
361051.08990831923,4065793.3153013643
361051.45539992774,4065793.3736857446
361051.81750718417,4065793.448226934
361052.19245006784,4065793.555098675
361052.56028562074,4065793.685160728
361052.911638652,4065793.842961341
361053.2255940274,4065794.0036457377
361053.5514272057,4065794.2093923856
361053.84559815406,4065794.4018298388
361054.1635119034,4065794.648099635
361054.44463362586,4065794.924816317
361054.69446839666,4065795.1507183113
361054.94290480984,4065795.469935088
361055.05790162523,4065795.7823673487
361055.35782741883,4065796.125775199
361055.55997999985,4065796.44067847
361055.7508094759,4065796.792554572
361055.92466324393,4065797.138557153
361056.05768489226,4065797.475896692
361056.15620126406,4065797.8188886237
361056.21943509876,4065798.150378265
361056.27750804316,4065798.4765746645
361056.29963473545,4065798.8334419774
361056.30815311836,4065799.1543181906
361056.3153311759,4065799.5987823247
361056.313570063,4065800.0435082684
361056.3122135355,4065800.4877938908
361056.319241969,4065800.9204595615
361056.32455785945,4065801.26185577
361056.3304153774,4065801.608287036
361056.3367229474,4065801.99657674
361056.34882385004,4065802.3958153687
361056.36755886563,4065802.795054
361056.3558258768,4065803.1725398437
361056.34366096073,4065803.535879318
361056.322844972,4065803.930824488
361056.32904422365,4065804.2857232788
361056.31385643675,4065804.6490561855
361056.29560462607,4065804.980404538
361056.3014861618,4065805.326224872
361056.3043696265,4065805.681232603
361056.2911653048,4065805.9945344348
361056.30571180227,4065806.3200182416
361056.2708582693,4065806.7563135885
361056.25824822736,4065807.0777185387
361056.24552455725,4065807.3800639804
361056.2228867181,4065807.710812124
361056.2201658655,4065808.032672217
361056.223139931,4065808.3767310237
361056.2045488112,4065808.7209348967
361056.2014761827,4065809.0675112414
361056.19843705057,4065809.4413275123
361056.2042601159,4065809.7887657657
361056.21020727477,4065810.1548674926
361056.19822261017,4065810.529300955
361056.20424126665,4065810.887361075
361056.19214788545,4065811.242658941
361056.19773461355,4065811.5865726843
361056.2031411251,4065811.9193924367
361056.21440542623,4065812.2631611116
361056.2286982585,4065812.573647814
361056.2428985561,4065812.8838986694
361056.241400998,4065813.19370922
361056.2465922715,4065813.494449126
361056.24523123004,4065813.9605418453
361056.24775426975,4065814.2909891214
361056.2384882494,4065814.656228941
361056.2265750979,4065815.0226208027
361056.1965704119,4065815.407921492
361056.1574702389,4065815.804367449
361056.09956360224,4065816.228307162
361056.06788392476,4065816.6087631187
361055.9300684865,4065816.974781767
361055.8086284891,4065817.31560537
361055.7219771599,4065817.636163246
361055.5062598425,4065817.9333869084
361055.33158652566,4065818.181584317
361055.1347619589,4065818.434161152
361054.9110682701,4065818.6755367713
361054.67461459147,4065818.9227610314
361054.37667440996,4065819.1869092905
361054.043668462,4065819.452736896
361053.6874855054,4065819.715966706
361053.3164259111,4065819.960631549
361052.9712589468,4065820.177268042
361052.5995547839,4065820.3585953484
361052.25638950546,4065820.5071856817
361051.931913281,4065820.659057934
361051.6124102173,4065820.786314411
361051.3132536505,4065820.9045996345
361051.0306281535,4065821.0115813753
361050.6544638532,4065821.1266443464
361050.3015996574,4065821.223169173
361049.95032256504,4065821.3018073332
361049.6097282535,4065821.3741462934
361049.2871394266,4065821.432652835
361048.9056880067,4065821.4743590723
361048.5034370802,4065821.5142649
361048.06177453336,4065821.5330828615
361047.6465242506,4065821.5281859157
361047.27016003797,4065821.5120260334
361046.87762998027,4065821.485192497
361046.47094576,4065821.481248454
361046.1552935259,4065821.46375705
361045.84529437614,4065821.4581218823
361045.4968381884,4065821.4526859196
361045.13945184543,4065821.4473950514
361044.773315582,4065821.453343268
361044.41727258154,4065821.4699166296
361044.04191626445,4065821.4871401307
361043.64847679925,4065821.4938112367
361043.25555007585,4065821.5001947572
361042.8535129658,4065821.4956293846
361042.4426325572,4065821.5020501013
361042.04086906096,4065821.5088317622
361041.6479423378,4065821.515215357
361041.24590522447,4065821.510650062
361040.8437747288,4065821.50583178
361040.450941385,4065821.5124684344
361040.0580146594,4065821.518852102
361039.66508793307,4065821.525235789
361039.2811764728,4065821.5312185045
361038.8703043277,4065821.5381482993
361038.47725232434,4065821.55539808
361038.0667708096,4065821.5622999626
361037.6382411817,4065821.557932335
361037.1920621328,4065821.543023182
361036.75412415294,4065821.5279444507
361036.32478608977,4065821.5127092768
361035.8959585041,4065821.5085794944
361035.4674611507,4065821.5044611096
361035.02919292875,4065821.4893710897
361034.60036533733,4065821.4852413717
361034.18046789715,4065821.480966585
361033.7603918597,4065821.487772675
361033.34049441817,4065821.483497931
361032.9291357942,4065821.4790628687
361032.5096296824,4065821.474803411
361032.09848214034,4065821.4592896416
361031.7140073529,4065821.454672368
361031.3206267333,4065821.43861545
361030.9538817683,4065821.433452474
361030.5971974534,4065821.4395269994
361030.2398110725,4065821.4342367514
361029.891535097,4065821.439895418
361029.55218927254,4065821.4454090036
361029.2217736027,4065821.450777508
361028.91147723893,4065821.46653629
361028.58791297383,4065821.472173261
361028.28428776364,4065821.4771065153
361027.8261135204,4065821.4841253064
361027.39656053146,4065821.479953123
361026.98905502877,4065821.4759575296
361026.56897731207,4065821.460589125
361026.14014969533,4065821.4564598296
361025.8363442261,4065821.450299178
361025.5036572093,4065821.4442280475
361025.19319292484,4065821.449652297
361024.8627772506,4065821.4550209697
361024.5234314205,4065821.4605347547
361024.18506846856,4065821.4657247677
361023.8266991976,4065821.460758575
361023.4794060888,4065821.466093716
361023.1223802128,4065821.4829917517
361022.76587363216,4065821.4998482154
361022.4083284625,4065821.5167878666
361022.07122171926,4065821.543416101
361021.7217667339,4065821.5612011403
361021.3898488851,4065821.56693532
361021.05943321006,4065821.5723041384
361020.72883727204,4065821.566578978
361020.40717148694,4065821.5607087286
361020.06764539244,4065821.5551286982
361019.7102589895,4065821.54983889
361019.3259887461,4065821.5447314107
361018.92422522063,4065821.5515141594
361018.5134381606,4065821.558189028
361018.09383863216,4065821.5536772725
361017.69159039296,4065821.56019183
361017.30786744104,4065821.577778433
361016.9508415691,4065821.5946767256
361016.60424802435,4065821.611064553
361016.2455397133,4065821.617234256
361015.9166262062,4065821.622237902
361015.5666677771,4065821.6171685318
361015.2182115212,4065821.6117338035
361014.8520752263,4065821.6176833007
361014.45896819874,4065821.612974153
361014.0839017511,4065821.6190687944
361013.69009263575,4065821.6029948955
361013.3157282721,4065821.6204543565
361012.931731668,4065821.6266941596
361012.5745255256,4065821.632498644
361012.21731938235,4065821.6383031425
361011.8602935148,4065821.6552016474
361011.5039606613,4065821.682906556
361011.1475208059,4065821.7100633667
361010.7818094648,4065821.7390005607
361010.4068137103,4065821.7784135235
361010.0514782023,4065821.8165370408
361009.7063959028,4065821.8869544496
361009.3910972325,4065821.9552247
361009.0685721346,4065822.0388014494
361008.7776208369,4065822.131647588
361008.35550788505,4065822.28944418
361008.0598206318,4065822.417443475
361007.78898365394,4065822.5674959626
361007.50493404915,4065822.733901146
361007.22938015545,4065822.9222630044
361006.9753590069,4065823.140402839
361006.7425762389,4065823.3531763945
361006.51417821384,4065823.589923323
361006.21161631925,4065823.9452351234
361006.0276464615,4065824.192876693
361005.86084289197,4065824.4733391902
361005.69055320235,4065824.758280888
361005.59996942163,4065825.056185356
361005.47413108626,4065825.347203648
361005.31473034597,4065825.6597220036
361005.23304641584,4065825.9748868193
361005.1549397937,4065826.425214544
361005.14041608764,4065826.7254779493
361005.0977338528,4065827.173206421
361005.0781001897,4065827.6187169007
361005.0743631365,4065827.9196019755
361005.0706612353,4065828.241472887
361005.0670681717,4065828.58247938
361005.0700241682,4065828.929445562
361005.07903838716,4065829.306641318
361005.0764181962,4065829.6950761867
361005.0650148099,4065830.1015240843
361005.0534542294,4065830.4904798097
361005.04190389835,4065830.8790597995
361005.0301607918,4065831.25696561
361005.009680321,4065831.645690724
361004.98938013904,4065832.0455098264
361004.9595581423,4065832.4419047544
361004.93907768215,4065832.8306298666
361004.92811904056,4065833.222779156
361004.91619278776,4065833.589643289
361004.90435335337,4065833.947993711
361004.90101204393,4065834.2920526126
361004.8948950168,4065834.6448330646
361004.8759940308,4065834.9674600367
361004.85379606433,4065835.2987268986
361004.83234818606,4065835.619681842
361004.8200574307,4065835.9227043926
361004.8075399707,4065836.2355330656
361004.7860675684,4065836.5773646436
361004.7890426744,4065836.9426045595
361004.7805136485,4065837.3306196225
361004.7868672148,4065837.711759733
361004.79353777,4065838.122237473
361004.808885042,4065838.5258008456
361004.8152681627,4065838.909765855
361004.83895613306,4065839.279107739
361004.83591684274,4065839.630730277
361004.84150568774,4065839.9746440602
361004.8442099678,4065840.326744542
361004.8343479919,4065840.649761242
361004.8122643285,4065840.97982189
361004.79040764866,4065841.2920952695
361004.750985263,4065841.61454667
361004.72049301304,4065841.9368529534
361004.6999703846,4065842.2709506187
361004.6604365685,4065842.623577539
361004.6016070088,4065842.9951842637
361004.5789288509,4065843.351207889
361004.46937028674,4065843.7239297433
361004.374358046,4065844.078855033
361004.33369416674,4065844.4159002365
361004.13917668036,4065844.7398028607
361004.0552269058,4065845.053170116
361003.8037574586,4065845.3517900263
361003.62930148473,4065845.6098543094
361003.4455548163,4065845.96444905
361003.1288483734,4065846.1836680425
361002.88226735697,4065846.4033714705
361002.6251837854,4065846.619564598
361002.3277773261,4065846.8228906193
361002.0487138601,4065847.013859747
361001.7185040204,4065847.1741066854
361001.3976212723,4065847.308428626
361001.08456819534,4065847.4251425695
361000.7633590823,4065847.521584517
361000.44221907103,4065847.6025982304
361000.07478389505,4065847.666553361
360999.7380029135,4065847.7383236317
360999.389147352,4065847.7997620245
360999.0510929119,4065847.862097609
360998.742169958,4065847.920629999
360998.40878340305,4065847.9622826264
360998.10634384013,4065848.000442686
360997.791247047,4065848.017085993
360997.4788729145,4065848.0332594905
360997.003665362,4065848.0516995457
360996.70213220705,4065848.0569797293
360996.3781959153,4065848.0396706355
360996.04547242477,4065848.021760852
360995.7261533295,4065848.005918586
360995.4044884728,4065848.0000493014
360995.07540680113,4065847.994641534
360994.73588169314,4065847.9890625393
360994.40528670896,4065847.9833384254
360994.0838021496,4065847.988563185
360993.75111602084,4065847.982493318
360993.44976316113,4065847.9988676086
360992.9945070021,4065848.0173633997
360992.6910629986,4065848.0333919385
360992.3903416572,4065848.0489506656
360992.0482741845,4065848.054935593
360991.7106119055,4065848.0711793248
360991.35932142846,4065848.0768886013
360991.04178959015,4065848.104204283
360990.6826860264,4065848.1215172564
360990.3725710098,4065848.1483714576
360990.04025782674,4065848.16524905
360989.62516784825,4065848.193643137
360989.21011666843,4065848.2009347817
360988.84398148034,4065848.206885427
